location,date,people_vaccinated_per_hundred
Asia,10/27/22,76.59
Greece,10/27/22,76.36
North America,10/27/22,75.33
European Union,10/27/22,75.06
Sweden,10/27/22,74.17
India,10/27/22,72.46
Lithuania,10/27/22,71.12
Israel,10/27/22,71.11
Europe,10/27/22,69.79
World,10/27/22,67.93
Turkey,10/27/22,67.89
Czechia,10/27/22,66.48
Dominican Republic,10/27/22,64.92
Lower middle income,10/27/22,63.03
Russia,10/27/22,59.3
Croatia,10/27/22,57.55
Poland,10/27/22,57.21
Curacao,10/27/22,56.78
Kosovo,10/27/22,50.86
South Africa,10/27/22,37.38
Africa,10/27/22,29.99
Kyrgyzstan,10/27/22,24.4
Low income,10/27/22,23.05
Chile,10/26/22,92.2
Taiwan,10/26/22,91.11
Argentina,10/26/22,90.85
Malta,10/26/22,89.68
Uruguay,10/26/22,87.7
Canada,10/26/22,87.63
South Korea,10/26/22,87.08
Brazil,10/26/22,87.03
Italy,10/26/22,86.13
South America,10/26/22,85.17
Aruba,10/26/22,84.5
Bahrain,10/26/22,84.28
Japan,10/26/22,84.12
Malaysia,10/26/22,82.82
Upper middle income,10/26/22,82.78
Denmark,10/26/22,81.75
Finland,10/26/22,81.62
France,10/26/22,80.5
Norway,10/26/22,79.98
Bangladesh,10/26/22,79.76
High income,10/26/22,79.4
Germany,10/26/22,77.73
Austria,10/26/22,77.08
Asia,10/26/22,76.59
Greece,10/26/22,76.36
Northern Ireland,10/26/22,75.41
North America,10/26/22,75.32
European Union,10/26/22,75.06
India,10/26/22,72.46
Lithuania,10/26/22,71.12
Israel,10/26/22,71.11
Europe,10/26/22,69.78
World,10/26/22,67.92
Turkey,10/26/22,67.89
Czechia,10/26/22,66.48
Dominican Republic,10/26/22,64.91
Lower middle income,10/26/22,63.03
Croatia,10/26/22,57.55
Poland,10/26/22,57.21
Kazakhstan,10/26/22,55.89
Kosovo,10/26/22,50.86
South Africa,10/26/22,37.37
Africa,10/26/22,29.99
Kyrgyzstan,10/26/22,24.38
Low income,10/26/22,23.05
Cuba,10/25/22,95.51
Chile,10/25/22,92.2
Singapore,10/25/22,91.6
Taiwan,10/25/22,91.11
Argentina,10/25/22,90.85
Malta,10/25/22,89.68
Uruguay,10/25/22,87.7
Canada,10/25/22,87.59
South Korea,10/25/22,87.08
Brazil,10/25/22,87.03
Italy,10/25/22,86.13
South America,10/25/22,85.17
Aruba,10/25/22,84.48
Bahrain,10/25/22,84.28
Japan,10/25/22,84.12
Malaysia,10/25/22,82.82
Upper middle income,10/25/22,82.78
Denmark,10/25/22,81.75
France,10/25/22,80.5
United States,10/25/22,80.13
Norway,10/25/22,79.98
Belgium,10/25/22,79.45
High income,10/25/22,79.4
Germany,10/25/22,77.73
Austria,10/25/22,77.08
Asia,10/25/22,76.59
Greece,10/25/22,76.36
Northern Ireland,10/25/22,75.4
North America,10/25/22,75.31
European Union,10/25/22,75.06
India,10/25/22,72.46
Lithuania,10/25/22,71.12
Israel,10/25/22,71.11
Europe,10/25/22,69.78
World,10/25/22,67.92
Turkey,10/25/22,67.89
Czechia,10/25/22,66.48
Dominican Republic,10/25/22,64.91
Hungary,10/25/22,64.4
Timor,10/25/22,64.01
Lower middle income,10/25/22,63.02
Croatia,10/25/22,57.54
Poland,10/25/22,57.21
Curacao,10/25/22,56.78
Kosovo,10/25/22,50.86
South Africa,10/25/22,37.37
Africa,10/25/22,29.99
Kyrgyzstan,10/25/22,24.37
Low income,10/25/22,23.05
Qatar,10/24/22,105.55
Cuba,10/24/22,95.51
Chile,10/24/22,92.2
Singapore,10/24/22,91.59
Taiwan,10/24/22,91.1
Argentina,10/24/22,90.84
Malta,10/24/22,89.68
Uruguay,10/24/22,87.7
Canada,10/24/22,87.56
South Korea,10/24/22,87.08
Brazil,10/24/22,87.03
Italy,10/24/22,86.13
South America,10/24/22,85.17
Aruba,10/24/22,84.47
Bahrain,10/24/22,84.28
Japan,10/24/22,84.12
Malaysia,10/24/22,82.82
Upper middle income,10/24/22,82.78
Denmark,10/24/22,81.75
France,10/24/22,80.49
United States,10/24/22,80.13
Norway,10/24/22,79.98
Belgium,10/24/22,79.45
High income,10/24/22,79.4
Tokelau,10/24/22,78.92
Germany,10/24/22,77.72
Austria,10/24/22,77.08
Asia,10/24/22,76.59
Fiji,10/24/22,76.43
Greece,10/24/22,76.36
Northern Ireland,10/24/22,75.4
North America,10/24/22,75.31
European Union,10/24/22,75.06
Indonesia,10/24/22,74.16
India,10/24/22,72.46
Israel,10/24/22,71.11
Lithuania,10/24/22,71.11
Europe,10/24/22,69.78
Switzerland,10/24/22,69.72
Liechtenstein,10/24/22,68
World,10/24/22,67.92
Turkey,10/24/22,67.89
Morocco,10/24/22,66.76
Czechia,10/24/22,66.47
New Caledonia,10/24/22,66.09
Estonia,10/24/22,65.43
Dominican Republic,10/24/22,64.91
Oceania,10/24/22,64.62
Lower middle income,10/24/22,63.02
Russia,10/24/22,59.28
Pakistan,10/24/22,59.16
Croatia,10/24/22,57.54
Poland,10/24/22,57.2
Curacao,10/24/22,56.78
Vanuatu,10/24/22,53.88
Kosovo,10/24/22,50.86
Solomon Islands,10/24/22,43.63
South Africa,10/24/22,37.36
Africa,10/24/22,29.99
Afghanistan,10/24/22,26.95
Kyrgyzstan,10/24/22,24.36
Low income,10/24/22,23.05
Papua New Guinea,10/24/22,3.51
Cuba,10/23/22,95.51
Chile,10/23/22,92.2
Hong Kong,10/23/22,91.95
Singapore,10/23/22,91.59
Taiwan,10/23/22,91.09
Argentina,10/23/22,90.84
Malta,10/23/22,89.67
Bhutan,10/23/22,89.34
Nepal,10/23/22,89.34
Canada,10/23/22,87.49
South Korea,10/23/22,87.08
Brazil,10/23/22,87.03
Italy,10/23/22,86.13
South America,10/23/22,85.17
Bahrain,10/23/22,84.28
Japan,10/23/22,84.12
Malaysia,10/23/22,82.82
Upper middle income,10/23/22,82.78
Denmark,10/23/22,81.74
Kuwait,10/23/22,80.77
France,10/23/22,80.49
England,10/23/22,80.13
United States,10/23/22,80.12
Belgium,10/23/22,79.45
High income,10/23/22,79.39
Germany,10/23/22,77.72
Austria,10/23/22,77.08
Asia,10/23/22,76.58
Greece,10/23/22,76.36
Jersey,10/23/22,75.96
Northern Ireland,10/23/22,75.4
North America,10/23/22,75.3
European Union,10/23/22,75.06
Luxembourg,10/23/22,74.39
Iran,10/23/22,73.49
India,10/23/22,72.46
Israel,10/23/22,71.11
Lithuania,10/23/22,71.11
Europe,10/23/22,69.78
Switzerland,10/23/22,69.72
World,10/23/22,67.92
Turkey,10/23/22,67.89
Czechia,10/23/22,66.47
Estonia,10/23/22,65.43
Dominican Republic,10/23/22,64.91
Oceania,10/23/22,64.54
Lower middle income,10/23/22,63.02
Croatia,10/23/22,57.54
Poland,10/23/22,57.2
Kosovo,10/23/22,50.86
Egypt,10/23/22,48.16
South Africa,10/23/22,37.36
Africa,10/23/22,29.99
Iraq,10/23/22,25.25
Kyrgyzstan,10/23/22,24.35
Low income,10/23/22,23.04
Cuba,10/22/22,95.51
Chile,10/22/22,92.2
Hong Kong,10/22/22,91.95
Singapore,10/22/22,91.59
Argentina,10/22/22,90.84
Malta,10/22/22,89.67
Peru,10/22/22,87.93
Uruguay,10/22/22,87.7
Canada,10/22/22,87.49
South Korea,10/22/22,87.08
Brazil,10/22/22,87.03
Italy,10/22/22,86.13
South America,10/22/22,85.17
Bahrain,10/22/22,84.28
Japan,10/22/22,84.12
Malaysia,10/22/22,82.82
Upper middle income,10/22/22,82.78
Denmark,10/22/22,81.74
France,10/22/22,80.49
England,10/22/22,80.13
United States,10/22/22,80.11
Norway,10/22/22,79.98
Bangladesh,10/22/22,79.72
Belgium,10/22/22,79.45
High income,10/22/22,79.39
Germany,10/22/22,77.72
Austria,10/22/22,77.08
Asia,10/22/22,76.58
Greece,10/22/22,76.36
Northern Ireland,10/22/22,75.4
North America,10/22/22,75.3
European Union,10/22/22,75.06
Luxembourg,10/22/22,74.39
India,10/22/22,72.45
Lithuania,10/22/22,71.11
Europe,10/22/22,69.78
Switzerland,10/22/22,69.72
Liechtenstein,10/22/22,68
World,10/22/22,67.91
Turkey,10/22/22,67.89
Czechia,10/22/22,66.47
Estonia,10/22/22,65.43
Dominican Republic,10/22/22,64.91
Oceania,10/22/22,64.54
Lower middle income,10/22/22,63
Croatia,10/22/22,57.54
Poland,10/22/22,57.2
Africa,10/22/22,29.96
Kyrgyzstan,10/22/22,24.35
Low income,10/22/22,23.04
Cuba,10/21/22,95.51
Portugal,10/21/22,95.03
Chile,10/21/22,92.2
Hong Kong,10/21/22,91.94
Singapore,10/21/22,91.58
Taiwan,10/21/22,91.08
Argentina,10/21/22,90.84
Malta,10/21/22,89.67
Peru,10/21/22,87.93
Nicaragua,10/21/22,87.75
Uruguay,10/21/22,87.7
Canada,10/21/22,87.49
South Korea,10/21/22,87.08
Brazil,10/21/22,87.03
Costa Rica,10/21/22,86.86
Italy,10/21/22,86.13
South America,10/21/22,85.17
Aruba,10/21/22,84.47
Bahrain,10/21/22,84.28
Japan,10/21/22,84.12
Malaysia,10/21/22,82.82
Upper middle income,10/21/22,82.78
Colombia,10/21/22,82.54
Denmark,10/21/22,81.74
France,10/21/22,80.49
England,10/21/22,80.12
United States,10/21/22,80.11
Norway,10/21/22,79.98
Belgium,10/21/22,79.44
High income,10/21/22,79.39
Germany,10/21/22,77.72
Austria,10/21/22,77.08
Asia,10/21/22,76.55
Greece,10/21/22,76.36
Northern Ireland,10/21/22,75.4
North America,10/21/22,75.29
European Union,10/21/22,75.06
Luxembourg,10/21/22,74.39
India,10/21/22,72.45
Israel,10/21/22,71.11
Lithuania,10/21/22,71.11
Europe,10/21/22,69.78
Switzerland,10/21/22,69.72
Anguilla,10/21/22,68.35
Liechtenstein,10/21/22,68
World,10/21/22,67.9
Turkey,10/21/22,67.89
Czechia,10/21/22,66.47
Estonia,10/21/22,65.42
Dominican Republic,10/21/22,64.9
Oceania,10/21/22,64.54
Lower middle income,10/21/22,62.97
Belize,10/21/22,62.01
Honduras,10/21/22,60.99
Russia,10/21/22,59.27
Paraguay,10/21/22,58.51
Poland,10/21/22,57.2
Curacao,10/21/22,56.78
Kazakhstan,10/21/22,55.89
Kosovo,10/21/22,50.86
Guatemala,10/21/22,49.47
Bahamas,10/21/22,42.33
South Africa,10/21/22,37.36
Saint Vincent and the Grenadines,10/21/22,35.89
Africa,10/21/22,29.96
Kyrgyzstan,10/21/22,24.35
Low income,10/21/22,23.04
Chile,10/20/22,92.2
Hong Kong,10/20/22,91.94
Singapore,10/20/22,91.58
Taiwan,10/20/22,91.07
Argentina,10/20/22,90.84
Malta,10/20/22,89.67
Peru,10/20/22,87.92
Uruguay,10/20/22,87.7
Canada,10/20/22,87.44
South Korea,10/20/22,87.08
Brazil,10/20/22,87.03
Italy,10/20/22,86.13
South America,10/20/22,85.17
Bahrain,10/20/22,84.28
Japan,10/20/22,84.12
Malaysia,10/20/22,82.82
Upper middle income,10/20/22,82.77
Denmark,10/20/22,81.74
France,10/20/22,80.49
England,10/20/22,80.12
United States,10/20/22,80.09
Norway,10/20/22,79.98
Belgium,10/20/22,79.44
High income,10/20/22,79.38
Germany,10/20/22,77.72
Austria,10/20/22,77.08
Asia,10/20/22,76.55
Greece,10/20/22,76.36
Northern Ireland,10/20/22,75.4
North America,10/20/22,75.27
European Union,10/20/22,75.06
Luxembourg,10/20/22,74.39
Sweden,10/20/22,74.16
India,10/20/22,72.45
Israel,10/20/22,71.11
Lithuania,10/20/22,71.11
Europe,10/20/22,69.77
Switzerland,10/20/22,69.72
Liechtenstein,10/20/22,68
World,10/20/22,67.89
Turkey,10/20/22,67.89
Czechia,10/20/22,66.47
Estonia,10/20/22,65.42
Dominican Republic,10/20/22,64.9
Oceania,10/20/22,64.54
Lower middle income,10/20/22,62.97
Pakistan,10/20/22,59.15
Croatia,10/20/22,57.54
Poland,10/20/22,57.2
Curacao,10/20/22,56.77
Kosovo,10/20/22,50.86
Lebanon,10/20/22,49.79
Somalia,10/20/22,39.75
South Africa,10/20/22,37.35
Africa,10/20/22,29.96
Kyrgyzstan,10/20/22,24.34
Low income,10/20/22,23.04
Djibouti,10/20/22,22.63
Yemen,10/20/22,2.71
Cuba,10/19/22,95.5
Chile,10/19/22,92.2
Hong Kong,10/19/22,91.93
Singapore,10/19/22,91.58
Taiwan,10/19/22,91.06
Argentina,10/19/22,90.84
Malta,10/19/22,89.67
Peru,10/19/22,87.91
Uruguay,10/19/22,87.7
Canada,10/19/22,87.32
South Korea,10/19/22,87.07
Brazil,10/19/22,87.03
Italy,10/19/22,86.13
South America,10/19/22,85.17
Aruba,10/19/22,84.46
Bahrain,10/19/22,84.28
Japan,10/19/22,84.11
Malaysia,10/19/22,82.82
Upper middle income,10/19/22,82.77
Denmark,10/19/22,81.74
Wales,10/19/22,81.68
Finland,10/19/22,81.62
France,10/19/22,80.49
England,10/19/22,80.11
United States,10/19/22,80.07
Norway,10/19/22,79.98
Belgium,10/19/22,79.44
High income,10/19/22,79.37
Sri Lanka,10/19/22,78.48
Germany,10/19/22,77.72
Austria,10/19/22,77.08
Asia,10/19/22,76.55
Greece,10/19/22,76.35
Northern Ireland,10/19/22,75.4
North America,10/19/22,75.26
European Union,10/19/22,75.06
Luxembourg,10/19/22,74.39
India,10/19/22,72.45
Israel,10/19/22,71.11
Lithuania,10/19/22,71.11
Europe,10/19/22,69.77
Switzerland,10/19/22,69.72
World,10/19/22,67.88
Turkey,10/19/22,67.88
Czechia,10/19/22,66.47
Estonia,10/19/22,65.42
Dominican Republic,10/19/22,64.9
Oceania,10/19/22,64.54
Timor,10/19/22,63.92
Lower middle income,10/19/22,62.96
Pakistan,10/19/22,59.14
Croatia,10/19/22,57.54
Poland,10/19/22,57.19
Kosovo,10/19/22,50.86
South Africa,10/19/22,37.34
Africa,10/19/22,29.91
Kyrgyzstan,10/19/22,24.33
Low income,10/19/22,22.92
Cuba,10/18/22,95.5
Chile,10/18/22,92.2
Hong Kong,10/18/22,91.93
Singapore,10/18/22,91.58
Taiwan,10/18/22,91.05
Argentina,10/18/22,90.83
Malta,10/18/22,89.66
Peru,10/18/22,87.91
Uruguay,10/18/22,87.7
Canada,10/18/22,87.28
South Korea,10/18/22,87.07
Brazil,10/18/22,87.03
Italy,10/18/22,86.12
South America,10/18/22,85.16
Aruba,10/18/22,84.45
Bahrain,10/18/22,84.28
Japan,10/18/22,84.11
Malaysia,10/18/22,82.82
Upper middle income,10/18/22,82.77
Denmark,10/18/22,81.74
Wales,10/18/22,81.68
France,10/18/22,80.49
England,10/18/22,80.11
United States,10/18/22,80.05
Norway,10/18/22,79.98
Belgium,10/18/22,79.44
High income,10/18/22,79.37
Germany,10/18/22,77.72
Austria,10/18/22,77.07
Asia,10/18/22,76.55
Greece,10/18/22,76.35
Northern Ireland,10/18/22,75.39
North America,10/18/22,75.24
European Union,10/18/22,75.05
Luxembourg,10/18/22,74.39
India,10/18/22,72.45
Israel,10/18/22,71.11
Lithuania,10/18/22,71.11
Europe,10/18/22,69.77
Switzerland,10/18/22,69.72
Liechtenstein,10/18/22,68
World,10/18/22,67.88
Turkey,10/18/22,67.88
Czechia,10/18/22,66.47
Estonia,10/18/22,65.42
Dominican Republic,10/18/22,64.9
Oceania,10/18/22,64.54
Hungary,10/18/22,64.4
Lower middle income,10/18/22,62.96
Pakistan,10/18/22,59.14
Croatia,10/18/22,57.54
Poland,10/18/22,57.19
Curacao,10/18/22,56.77
Kosovo,10/18/22,50.86
Palestine,10/18/22,38.34
South Africa,10/18/22,37.34
Africa,10/18/22,29.9
Kyrgyzstan,10/18/22,24.32
Low income,10/18/22,22.92
Cuba,10/17/22,95.5
Chile,10/17/22,92.19
Hong Kong,10/17/22,91.92
Singapore,10/17/22,91.58
Taiwan,10/17/22,91.05
Argentina,10/17/22,90.83
Nauru,10/17/22,90.79
Malta,10/17/22,89.66
Peru,10/17/22,87.9
Uruguay,10/17/22,87.7
Canada,10/17/22,87.25
South Korea,10/17/22,87.07
Brazil,10/17/22,87.03
Italy,10/17/22,86.12
Samoa,10/17/22,85.93
South America,10/17/22,85.16
Aruba,10/17/22,84.45
Bahrain,10/17/22,84.28
Japan,10/17/22,84.11
Malaysia,10/17/22,82.82
Upper middle income,10/17/22,82.77
Denmark,10/17/22,81.74
Wales,10/17/22,81.68
France,10/17/22,80.49
England,10/17/22,80.11
United States,10/17/22,80.04
Norway,10/17/22,79.98
Belgium,10/17/22,79.44
High income,10/17/22,79.36
Germany,10/17/22,77.72
Austria,10/17/22,77.07
Asia,10/17/22,76.55
Fiji,10/17/22,76.41
Greece,10/17/22,76.35
Maldives,10/17/22,76.2
Northern Ireland,10/17/22,75.39
North America,10/17/22,75.23
European Union,10/17/22,75.05
Luxembourg,10/17/22,74.39
Indonesia,10/17/22,74.15
India,10/17/22,72.45
Israel,10/17/22,71.11
Lithuania,10/17/22,71.11
Europe,10/17/22,69.77
Switzerland,10/17/22,69.72
Liechtenstein,10/17/22,68
World,10/17/22,67.88
Turkey,10/17/22,67.88
Czechia,10/17/22,66.47
New Caledonia,10/17/22,66.08
Estonia,10/17/22,65.42
Dominican Republic,10/17/22,64.89
Oceania,10/17/22,64.54
Lower middle income,10/17/22,62.96
French Polynesia,10/17/22,62.34
Wallis and Futuna,10/17/22,61.54
Russia,10/17/22,59.25
Pakistan,10/17/22,59.14
Poland,10/17/22,57.19
Curacao,10/17/22,56.77
Vanuatu,10/17/22,44.16
Solomon Islands,10/17/22,43.49
South Africa,10/17/22,37.33
Africa,10/17/22,29.9
Kyrgyzstan,10/17/22,24.31
Low income,10/17/22,22.92
Papua New Guinea,10/17/22,3.5
Qatar,10/16/22,105.14
Cuba,10/16/22,95.5
Chile,10/16/22,92.19
Hong Kong,10/16/22,91.91
Singapore,10/16/22,91.57
Taiwan,10/16/22,91.04
Argentina,10/16/22,90.83
Bhutan,10/16/22,89.32
Peru,10/16/22,87.89
Canada,10/16/22,87.19
South Korea,10/16/22,87.07
Brazil,10/16/22,87.03
Mauritius,10/16/22,86.48
Italy,10/16/22,86.12
South America,10/16/22,85.16
Bahrain,10/16/22,84.28
Japan,10/16/22,84.11
Malaysia,10/16/22,82.82
Upper middle income,10/16/22,82.76
Denmark,10/16/22,81.74
Wales,10/16/22,81.68
Kuwait,10/16/22,80.75
France,10/16/22,80.49
England,10/16/22,80.11
United States,10/16/22,80.02
Belgium,10/16/22,79.44
High income,10/16/22,79.35
Bangladesh,10/16/22,79
Germany,10/16/22,77.72
Austria,10/16/22,77.07
Asia,10/16/22,76.55
Greece,10/16/22,76.35
Jersey,10/16/22,75.93
Northern Ireland,10/16/22,75.39
North America,10/16/22,75.22
European Union,10/16/22,75.05
Andorra,10/16/22,72.51
India,10/16/22,72.44
Israel,10/16/22,71.11
Europe,10/16/22,69.73
Switzerland,10/16/22,69.72
Liberia,10/16/22,69.64
Belarus,10/16/22,68.3
Turkey,10/16/22,67.88
World,10/16/22,67.87
Rwanda,10/16/22,67.87
Morocco,10/16/22,66.76
Czechia,10/16/22,66.47
Estonia,10/16/22,65.41
Dominican Republic,10/16/22,64.89
Oceania,10/16/22,64.53
Lower middle income,10/16/22,62.96
Croatia,10/16/22,57.54
Poland,10/16/22,57.19
Mozambique,10/16/22,56.24
Albania,10/16/22,47.11
Romania,10/16/22,41.63
Sierra Leone,10/16/22,39.99
Angola,10/16/22,39.96
Guinea,10/16/22,37.57
South Africa,10/16/22,37.33
Bulgaria,10/16/22,31.01
Central African Republic,10/16/22,30.01
Africa,10/16/22,29.9
Afghanistan,10/16/22,26.78
Nigeria,10/16/22,26.09
Togo,10/16/22,24.53
Kyrgyzstan,10/16/22,24.3
Benin,10/16/22,24.02
Namibia,10/16/22,23.15
Low income,10/16/22,22.92
South Sudan,10/16/22,19.49
Niger,10/16/22,14.28
Syria,10/16/22,13.79
Mali,10/16/22,11.29
Madagascar,10/16/22,5.87
Democratic Republic of Congo,10/16/22,5.78
Burundi,10/16/22,0.18
Cuba,10/15/22,95.5
Chile,10/15/22,92.19
Hong Kong,10/15/22,91.91
Singapore,10/15/22,91.57
Argentina,10/15/22,90.83
Malta,10/15/22,89.66
Peru,10/15/22,87.88
Uruguay,10/15/22,87.7
Canada,10/15/22,87.18
South Korea,10/15/22,87.07
Brazil,10/15/22,87.03
Italy,10/15/22,86.12
South America,10/15/22,85.16
Bahrain,10/15/22,84.28
Japan,10/15/22,84.11
Malaysia,10/15/22,82.82
Upper middle income,10/15/22,82.76
Denmark,10/15/22,81.74
Wales,10/15/22,81.67
France,10/15/22,80.49
England,10/15/22,80.1
United States,10/15/22,80.01
Norway,10/15/22,79.98
Belgium,10/15/22,79.44
High income,10/15/22,79.13
Germany,10/15/22,77.72
Austria,10/15/22,77.07
Asia,10/15/22,76.49
Greece,10/15/22,76.35
Northern Ireland,10/15/22,75.39
North America,10/15/22,75.21
European Union,10/15/22,74.45
Luxembourg,10/15/22,74.39
India,10/15/22,72.44
Lithuania,10/15/22,71.11
Switzerland,10/15/22,69.72
Europe,10/15/22,69.36
Liechtenstein,10/15/22,68
Turkey,10/15/22,67.88
World,10/15/22,67.7
Czechia,10/15/22,66.47
Estonia,10/15/22,65.41
Oceania,10/15/22,64.53
Lower middle income,10/15/22,62.82
Pakistan,10/15/22,59.14
Croatia,10/15/22,57.54
Poland,10/15/22,57.19
Curacao,10/15/22,56.76
South Africa,10/15/22,37.33
Africa,10/15/22,29.35
Kyrgyzstan,10/15/22,24.3
Low income,10/15/22,22.13
Cuba,10/14/22,95.5
Portugal,10/14/22,95.03
Chile,10/14/22,92.19
Hong Kong,10/14/22,91.9
Singapore,10/14/22,91.57
Taiwan,10/14/22,91.02
Argentina,10/14/22,90.83
Cambodia,10/14/22,90.69
Malta,10/14/22,89.66
Peru,10/14/22,87.88
Uruguay,10/14/22,87.7
Nicaragua,10/14/22,87.65
Canada,10/14/22,87.18
South Korea,10/14/22,87.07
Brazil,10/14/22,87.03
Costa Rica,10/14/22,86.48
Italy,10/14/22,86.12
South America,10/14/22,85.16
Aruba,10/14/22,84.44
Bahrain,10/14/22,84.28
Japan,10/14/22,84.11
Malaysia,10/14/22,82.82
Upper middle income,10/14/22,82.76
Colombia,10/14/22,82.52
Denmark,10/14/22,81.74
Wales,10/14/22,81.67
France,10/14/22,80.49
England,10/14/22,80.1
United States,10/14/22,80
Norway,10/14/22,79.98
Panama,10/14/22,79.56
Belgium,10/14/22,79.44
High income,10/14/22,79.13
Germany,10/14/22,77.72
Austria,10/14/22,77.07
Asia,10/14/22,76.49
Greece,10/14/22,76.35
Northern Ireland,10/14/22,75.39
North America,10/14/22,75.21
European Union,10/14/22,74.45
Luxembourg,10/14/22,74.39
India,10/14/22,72.44
Israel,10/14/22,71.11
Lithuania,10/14/22,71.11
Switzerland,10/14/22,69.72
Europe,10/14/22,69.36
Liechtenstein,10/14/22,68
Turkey,10/14/22,67.88
World,10/14/22,67.7
Czechia,10/14/22,66.47
Estonia,10/14/22,65.41
Dominican Republic,10/14/22,64.89
Oceania,10/14/22,64.53
Lower middle income,10/14/22,62.82
Belize,10/14/22,62
Pakistan,10/14/22,59.14
Paraguay,10/14/22,58.49
Barbados,10/14/22,58.13
Croatia,10/14/22,57.54
Poland,10/14/22,57.19
Curacao,10/14/22,56.76
Kosovo,10/14/22,50.86
Guatemala,10/14/22,49.43
South Africa,10/14/22,37.33
Saint Lucia,10/14/22,36.3
Saint Vincent and the Grenadines,10/14/22,35.87
Africa,10/14/22,29.35
Kyrgyzstan,10/14/22,24.3
Low income,10/14/22,22.13
Haiti,10/14/22,3.16
Cuba,10/13/22,95.49
Chile,10/13/22,92.19
Hong Kong,10/13/22,91.89
Vietnam,10/13/22,91.69
Singapore,10/13/22,91.57
Taiwan,10/13/22,91.01
Argentina,10/13/22,90.83
Malta,10/13/22,89.66
Peru,10/13/22,87.87
Uruguay,10/13/22,87.7
Canada,10/13/22,87.14
South Korea,10/13/22,87.07
Brazil,10/13/22,87.03
Spain,10/13/22,86.86
Italy,10/13/22,86.12
South America,10/13/22,85.15
Aruba,10/13/22,84.43
Bahrain,10/13/22,84.27
Japan,10/13/22,84.11
Malaysia,10/13/22,82.82
Upper middle income,10/13/22,82.75
Denmark,10/13/22,81.74
Wales,10/13/22,81.67
France,10/13/22,80.49
England,10/13/22,80.1
Norway,10/13/22,79.98
United States,10/13/22,79.98
Belgium,10/13/22,79.44
High income,10/13/22,79.12
Germany,10/13/22,77.71
Austria,10/13/22,77.07
Asia,10/13/22,76.49
Greece,10/13/22,76.35
Northern Ireland,10/13/22,75.39
North America,10/13/22,75.19
European Union,10/13/22,74.45
Luxembourg,10/13/22,74.39
Sweden,10/13/22,74.15
Israel,10/13/22,71.11
Lithuania,10/13/22,71.11
Switzerland,10/13/22,69.72
Europe,10/13/22,69.36
Liechtenstein,10/13/22,68
Turkey,10/13/22,67.88
World,10/13/22,67.7
Philippines,10/13/22,67.44
